elapsed time,x-position,y-position,MAC address
6.268519,-16.27016,13.27348,E0:61:8F:03:B2:A6
6.619611,8.399235,12.04758,63:C6:37:6A:68:D6
7.328184,8.140941,4.921257,AA:EA:0D:EA:0F:A2
8.269953,-18.5888,12.21053,E0:61:8F:03:B2:A6
8.62195,6.709358,9.810925,63:C6:37:6A:68:D6
8.756299,8.401253,3.218258,9E:80:05:26:47:F9
8.773293,-5.505198,-8.895833,FD:42:BA:C5:67:1E
9.328929,5.932184,3.242565,AA:EA:0D:EA:0F:A2
10.27201,-18.65351,11.35112,E0:61:8F:03:B2:A6
10.625,5.018883,7.57346,63:C6:37:6A:68:D6
10.75965,10.23651,5.339085,9E:80:05:26:47:F9
10.77699,-2.716971,-9.203759,FD:42:BA:C5:67:1E
11.34381,3.750361,1.454623,AA:EA:0D:EA:0F:A2
12.27297,-16.30794,10.64457,E0:61:8F:03:B2:A6
12.6251,3.434968,5.434604,63:C6:37:6A:68:D6
12.7601,12.06907,7.456941,9E:80:05:26:47:F9
12.79411,0.08993386,-9.513744,FD:42:BA:C5:67:1E
13.34951,1.578482,-0.3251682,AA:EA:0D:EA:0F:A2
14.28034,-13.58057,9.966811,E0:61:8F:03:B2:A6
14.63574,3.810343,3.382572,63:C6:37:6A:68:D6
14.77104,13.91124,9.585897,9E:80:05:26:47:F9
14.80913,2.893909,-9.8234,FD:42:BA:C5:67:1E
15.34963,-0.5873619,-2.100014,AA:EA:0D:EA:0F:A2
16.29618,-10.8417,9.286197,E0:61:8F:03:B2:A6
16.63589,5.570445,1.204793,63:C6:37:6A:68:D6
16.77456,15.72747,11.68488,9E:80:05:26:47:F9
16.81283,5.567464,-10.22066,FD:42:BA:C5:67:1E
17.35557,-2.759512,-3.880028,AA:EA:0D:EA:0F:A2
18.3047,-8.112761,8.608056,E0:61:8F:03:B2:A6
18.64608,7.339505,-0.983925,63:C6:37:6A:68:D6
18.78567,16.26543,12.63502,9E:80:05:26:47:F9
18.81961,8.335938,-10.69901,FD:42:BA:C5:67:1E
19.35787,-4.927716,-5.656811,AA:EA:0D:EA:0F:A2
20.3059,-5.39378,7.932388,E0:61:8F:03:B2:A6
20.65158,9.104448,-3.167547,63:C6:37:6A:68:D6
20.79362,14.70077,11.84767,9E:80:05:26:47:F9
20.8384,11.12097,-11.18023,FD:42:BA:C5:67:1E
21.36185,-7.097732,-7.435077,AA:EA:0D:EA:0F:A2
22.31526,-2.663708,7.253964,E0:61:8F:03:B2:A6
22.66792,10.87893,-5.362967,63:C6:37:6A:68:D6
22.79726,12.31512,10.3721,9E:80:05:26:47:F9
22.84052,13.88302,-11.65748,FD:42:BA:C5:67:1E
23.36563,-9.267529,-9.213164,AA:EA:0D:EA:0F:A2
24.32268,-0.3495534,6.528126,E0:61:8F:03:B2:A6
24.68402,12.65319,-7.558124,63:C6:37:6A:68:D6
24.80563,9.923867,8.893049,9E:80:05:26:47:F9
24.84158,16.64358,-12.13447,FD:42:BA:C5:67:1E
25.37283,-11.44105,-10.99429,AA:EA:0D:EA:0F:A2
26.33893,-0.1860272,4.686425,E0:61:8F:03:B2:A6
26.68615,14.41516,-9.738066,63:C6:37:6A:68:D6
26.81018,7.537142,7.416811,9E:80:05:26:47:F9
26.84531,18.83685,-12.3005,FD:42:BA:C5:67:1E
27.37442,-13.60848,-12.77044,AA:EA:0D:EA:0F:A2
28.35434,-1.317622,2.103763,E0:61:8F:03:B2:A6
28.69369,16.18188,-11.92389,63:C6:37:6A:68:D6
28.82207,5.141674,5.935164,9E:80:05:26:47:F9
28.86991,19.06756,-10.75703,FD:42:BA:C5:67:1E
29.3781,-15.77817,-14.54844,AA:EA:0D:EA:0F:A2
30.35538,-2.443238,-0.4616102,E0:61:8F:03:B2:A6
30.70415,17.95117,-14.1129,63:C6:37:6A:68:D6
30.83582,2.744006,4.452157,9E:80:05:26:47:F9
30.88452,18.04424,-8.142188,FD:42:BA:C5:67:1E
31.38813,-17.95475,-16.33209,AA:EA:0D:EA:0F:A2
32.36464,-3.573475,-3.037517,E0:61:8F:03:B2:A6
32.71048,19.0674,-15.68926,63:C6:37:6A:68:D6
32.8505,0.3452187,2.968457,9E:80:05:26:47:F9
32.89727,17.01078,-5.520679,FD:42:BA:C5:67:1E
33.39532,-19.18163,-17.6252,AA:EA:0D:EA:0F:A2
34.38076,-4.707574,-5.622226,E0:61:8F:03:B2:A6
34.71812,18.10083,-15.57451,63:C6:37:6A:68:D6
34.85677,-2.043543,1.490959,9E:80:05:26:47:F9
34.91058,15.97705,-2.898447,FD:42:BA:C5:67:1E
35.40511,-17.87113,-17.94617,AA:EA:0D:EA:0F:A2
36.38335,-5.834064,-8.189589,E0:61:8F:03:B2:A6
36.72428,15.6864,-14.25939,63:C6:37:6A:68:D6
36.86329,-4.43261,0.01327075,9E:80:05:26:47:F9
36.92474,14.94288,-0.2751131,FD:42:BA:C5:67:1E
37.4208,-15.06926,-17.69557,AA:EA:0D:EA:0F:A2
38.40033,-6.968648,-10.7754,E0:61:8F:03:B2:A6
38.73705,13.21773,-12.90069,63:C6:37:6A:68:D6
38.8707,-6.822751,-1.465081,9E:80:05:26:47:F9
38.93716,13.9096,2.345966,FD:42:BA:C5:67:1E
39.43273,-12.264,-17.44202,AA:EA:0D:EA:0F:A2
40.40453,-7.867617,-12.93954,E0:61:8F:03:B2:A6
40.74216,10.75844,-11.54715,63:C6:37:6A:68:D6
40.88629,-9.222613,-2.949446,9E:80:05:26:47:F9
40.94446,13.01562,4.593761,FD:42:BA:C5:67:1E
41.44158,-9.463029,-17.18888,AA:EA:0D:EA:0F:A2
42.40854,-7.360708,-13.05042,E0:61:8F:03:B2:A6
42.75579,8.288708,-10.18786,63:C6:37:6A:68:D6
42.89607,-11.61556,-4.429536,9E:80:05:26:47:F9
42.95687,12.9283,4.535534,FD:42:BA:C5:67:1E
43.45276,-6.658811,-16.93544,AA:EA:0D:EA:0F:A2
44.42193,-5.530014,-11.26245,E0:61:8F:03:B2:A6
44.76614,5.823007,-8.830793,63:C6:37:6A:68:D6
44.91212,-13.887,-5.865722,9E:80:05:26:47:F9
44.97362,13.64161,2.179318,FD:42:BA:C5:67:1E
45.46513,-3.852927,-16.68184,AA:EA:0D:EA:0F:A2
46.43298,-3.552331,-9.258541,E0:61:8F:03:B2:A6
46.78198,3.600882,-7.642328,63:C6:37:6A:68:D6
46.92099,-14.35025,-8.010457,9E:80:05:26:47:F9
46.97712,14.4694,-0.5006515,FD:42:BA:C5:67:1E
47.48147,-1.041512,-16.42775,AA:EA:0D:EA:0F:A2
48.44649,-1.572237,-7.252187,E0:61:8F:03:B2:A6
48.79064,3.132163,-8.029757,63:C6:37:6A:68:D6
48.93394,-13.33259,-10.19494,9E:80:05:26:47:F9
48.99033,15.3012,-3.193612,FD:42:BA:C5:67:1E
49.4927,1.762777,-16.1743,AA:EA:0D:EA:0F:A2
50.45805,0.4059435,-5.247773,E0:61:8F:03:B2:A6
50.80706,4.499562,-10.05231,63:C6:37:6A:68:D6
50.93655,-10.81682,-10.88091,9E:80:05:26:47:F9
50.99361,16.1289,-5.87329,FD:42:BA:C5:67:1E
51.49473,4.554246,-15.922,AA:EA:0D:EA:0F:A2
52.46222,2.376867,-3.250709,E0:61:8F:03:B2:A6
52.82101,6.167067,-12.32589,63:C6:37:6A:68:D6
52.94901,-8.040337,-11.35958,9E:80:05:26:47:F9
53.00011,16.95793,-8.557265,FD:42:BA:C5:67:1E
53.50122,7.351932,-15.66914,AA:EA:0D:EA:0F:A2
54.46337,4.344805,-1.256673,E0:61:8F:03:B2:A6
54.82167,7.796971,-14.55915,63:C6:37:6A:68:D6
54.96043,-5.265295,-11.83801,9E:80:05:26:47:F9
55.02213,17.79337,-11.262,FD:42:BA:C5:67:1E
55.51417,10.09086,-15.46919,AA:EA:0D:EA:0F:A2
56.47242,6.320524,0.7452487,E0:61:8F:03:B2:A6
56.83149,8.869358,-16.13141,63:C6:37:6A:68:D6
56.96679,-2.497214,-12.31523,9E:80:05:26:47:F9
57.03209,18.46833,-13.41351,FD:42:BA:C5:67:1E
57.52716,12.89578,-15.19598,AA:EA:0D:EA:0F:A2
58.47633,8.291178,2.742038,E0:61:8F:03:B2:A6
58.84633,8.122972,-15.82212,63:C6:37:6A:68:D6
58.97833,0.2779959,-12.79368,9E:80:05:26:47:F9
59.04832,18.46116,-13.08664,FD:42:BA:C5:67:1E
59.5353,15.67957,-14.92484,AA:EA:0D:EA:0F:A2
60.48098,10.17014,4.645869,E0:61:8F:03:B2:A6
60.85867,6.145043,-14.10176,63:C6:37:6A:68:D6
60.98169,3.011068,-13.27248,9E:80:05:26:47:F9
61.05799,17.85134,-10.57361,FD:42:BA:C5:67:1E
61.54307,16.86213,-14.48101,AA:EA:0D:EA:0F:A2
62.48878,10.59166,5.069015,E0:61:8F:03:B2:A6
62.86838,4.66889,-11.83424,63:C6:37:6A:68:D6
62.98829,5.437694,-14.04972,9E:80:05:26:47:F9
63.06466,17.18165,-7.845272,FD:42:BA:C5:67:1E
63.55365,15.36121,-13.54233,AA:EA:0D:EA:0F:A2
64.50173,9.149282,3.597709,E0:61:8F:03:B2:A6
64.87637,2.84539,-9.694702,63:C6:37:6A:68:D6
65.00471,8.233018,-14.44389,9E:80:05:26:47:F9
65.06517,16.514,-5.1253,FD:42:BA:C5:67:1E
65.56086,12.78522,-12.41944,AA:EA:0D:EA:0F:A2
66.507,7.182966,1.593977,E0:61:8F:03:B2:A6
66.88435,1.021906,-7.555178,63:C6:37:6A:68:D6
67.00739,11.00929,-14.83538,9E:80:05:26:47:F9
67.06654,15.84606,-2.404162,FD:42:BA:C5:67:1E
67.56268,10.21615,-11.29957,AA:EA:0D:EA:0F:A2
68.51183,5.217084,-0.4093179,E0:61:8F:03:B2:A6
68.88926,-0.798799,-5.418917,63:C6:37:6A:68:D6
69.01978,13.79905,-15.22878,9E:80:05:26:47:F9
69.07456,15.17589,0.3260168,FD:42:BA:C5:67:1E
69.57583,7.632531,-10.17336,AA:EA:0D:EA:0F:A2
70.52056,3.247368,-2.416521,E0:61:8F:03:B2:A6
70.89454,-2.619836,-3.282268,63:C6:37:6A:68:D6
71.03338,16.45208,-15.58424,9E:80:05:26:47:F9
71.08887,14.50364,3.064742,FD:42:BA:C5:67:1E
71.5824,5.057356,-9.050827,AA:EA:0D:EA:0F:A2
72.5265,1.280391,-4.420933,E0:61:8F:03:B2:A6
72.91109,-4.369511,-1.226819,63:C6:37:6A:68:D6
73.04723,17.61606,-14.53721,9E:80:05:26:47:F9
73.10538,13.4393,5.195824,FD:42:BA:C5:67:1E
